id,income,gender,age,age_range,political_affiliation,education,ethnicity,marital_status,climate_change,transformers,books,ghosts,spending,choice,shower_pee
234,32000,Female,59,55-64,Democrat,Graduate degree,Latino,Widowed,Real and Caused by People,1,6,No,Too Low,Smart and Sad,Acceptable
235,59000,Female,29,25-34,Democrat,Some college,White,Single,Real and Caused by People,0,3,Yes,,Dumb and happy,Unacceptable
236,150000,Male,65,65+,Republican,High school,White,Married,Not Real At All,0,2,No,Too High,Dumb and happy,Acceptable
237,132000,Male,52,45-54,Republican,Some college,White,Married,Not Real At All,0,2,Yes,Too Low,Dumb and happy,Acceptable
238,172000,Male,40,35-44,,High school,White,Married,Not Real At All,2,13,No,Too High,Smart and Sad,Unacceptable
239,25000,Female,52,45-54,Independent,High school,White,Divorced,Not Real At All,0,0,No,Too Low,Dumb and happy,Unacceptable
240,31000,Male,56,55-64,Democrat,Some college,White,In a relationship,Real and Caused by People,,,Yes,Too Low,Dumb and happy,Unacceptable
241,54000,Male,60,55-64,Republican,High school,White,Married,,0,0,No,About Right,Dumb and happy,Unacceptable
242,199000,Male,63,55-64,Democrat,Graduate degree,White,Married,Real but not Caused by People,,12,No,Too Low,Smart and Sad,Unacceptable
243,55000,Female,59,55-64,Democrat,College degree,White,Single,Real and Caused by People,0,3,Yes,Too Low,Smart and Sad,Unacceptable
244,44000,Male,56,55-64,,Graduate degree,,Married,Not Real At All,0,20,No,Too High,Smart and Sad,Acceptable
245,51000,Male,61,55-64,Republican,Some college,White,Married,Real but not Caused by People,2,17,No,About Right,,Unacceptable
246,98000,Male,57,55-64,Independent,Some college,White,Married,Real and Caused by People,,2,No,Too Low,Smart and Sad,Unacceptable
247,39000,Female,57,55-64,Independent,Graduate degree,White,In a relationship,Real and Caused by People,1,15,No,Too Low,Smart and Sad,Acceptable
248,26000,Male,49,45-54,Independent,College degree,,Married,Not Real At All,0,0,No,About Right,Dumb and happy,Acceptable
249,70000,Female,72,65+,Republican,High school,White,Widowed,Not Real At All,0,2,,About Right,,Unacceptable
250,174000,Female,68,65+,Democrat,Graduate degree,White,Married,Real and Caused by People,0,0,No,About Right,Dumb and happy,Acceptable
251,,Female,60,55-64,Republican,Graduate degree,White,Married,Not Real At All,0,10,No,Too Low,Dumb and happy,Acceptable
252,,Female,63,55-64,Independent,College degree,White,Married,Real and Caused by People,,30,No,About Right,Dumb and happy,Acceptable
253,,Male,46,45-54,,Some college,White,Married,Not Real At All,1,25,No,Too High,,
254,,Male,39,35-44,Independent,Graduate degree,Other,Single,Real and Caused by People,,1000,Yes,Too High,Smart and Sad,Unacceptable
255,,Male,50,45-54,,High school,White,Married,Real and Caused by People,0,0,No,Too High,Smart and Sad,Unacceptable
256,,Male,88,65+,Independent,College degree,White,Married,Real but not Caused by People,0,0,No,About Right,Smart and Sad,Unacceptable
257,,Male,31,25-34,Republican,College degree,Asian,In a relationship,Real but not Caused by People,1,4,No,Too Low,Dumb and happy,Acceptable
258,,Male,45,45-54,,High school,Black,Single,,0,0,No,Too Low,Smart and Sad,Unacceptable
259,,Other,30,25-34,Democrat,High school,Black,Single,,,2,Yes,Too High,Dumb and happy,Unacceptable
260,,Female,64,55-64,,High school,White,Married,,0,20,No,,Smart and Sad,Unacceptable
261,,Female,32,25-34,,Some college,White,Single,,,30,No,,Smart and Sad,Acceptable
262,,Female,42,35-44,Independent,College degree,White,In a relationship,Real but not Caused by People,0,3,No,About Right,Dumb and happy,Unacceptable
263,,Male,70,65+,Independent,Some college,White,Married,Not Real At All,0,4,No,About Right,Dumb and happy,Unacceptable
264,,Female,69,65+,Democrat,Graduate degree,White,Married,Real and Caused by People,0,0,No,Too Low,Smart and Sad,Unacceptable
265,,Male,51,45-54,Independent,Some college,White,Married,Real but not Caused by People,4,0,Yes,About Right,Smart and Sad,Acceptable
266,,Male,64,55-64,Independent,Some college,White,Married,Not Real At All,0,3,Yes,Too High,Smart and Sad,Acceptable
267,,Female,49,45-54,,Graduate degree,Black,Divorced,Real but not Caused by People,0,3,No,About Right,Dumb and happy,Unacceptable
268,,Female,34,25-34,Democrat,College degree,Black,Single,Real and Caused by People,3,8,Yes,Too High,Dumb and happy,Unacceptable
269,,Female,50,45-54,Republican,College degree,White,Married,Not Real At All,,50,No,,Smart and Sad,Acceptable
270,,Female,65,65+,Independent,Graduate degree,White,Widowed,Real and Caused by People,0,5,No,Too Low,Smart and Sad,Acceptable
271,,Male,74,65+,Independent,Graduate degree,White,Married,Real and Caused by People,0,20,No,Too Low,Smart and Sad,Acceptable
272,,Male,49,45-54,Republican,Some college,White,Married,Real but not Caused by People,0,1,No,About Right,Dumb and happy,Acceptable
273,,Female,25,25-34,Republican,Some college,Latino,Single,Not Real At All,5,0,Yes,Too High,Dumb and happy,Acceptable
274,,Female,22,18-24,,Graduate degree,Latino,Single,Real and Caused by People,0,40,No,About Right,Smart and Sad,Unacceptable
275,,Female,67,65+,Democrat,High school,Black,Widowed,Real and Caused by People,3,50,No,About Right,Dumb and happy,Unacceptable
276,,Male,25,25-34,Democrat,College degree,White,Single,Real and Caused by People,1,5,No,Too Low,Smart and Sad,Acceptable
277,,Male,76,65+,Independent,Other,White,Married,Real and Caused by People,0,0,No,Too Low,Smart and Sad,Unacceptable
278,,Male,30,25-34,Independent,Some college,White,Married,Real and Caused by People,3,0,No,About Right,Dumb and happy,Acceptable
279,,Male,21,18-24,Independent,College degree,Black,In a relationship,Real and Caused by People,2,60,No,Too Low,Smart and Sad,Unacceptable
280,,Female,38,35-44,Republican,College degree,Black,Single,Real and Caused by People,2,13,No,About Right,Smart and Sad,Unacceptable
281,100000,Female,59,55-64,Republican,Graduate degree,White,Married,Real and Caused by People,1,3,Yes,About Right,Dumb and happy,Unacceptable
282,,Male,52,45-54,Republican,High school,White,In a relationship,Not Real At All,3,25,Yes,About Right,Smart and Sad,Unacceptable
283,,Female,21,18-24,Democrat,Some college,Latino,Single,Real and Caused by People,2,0,No,About Right,Dumb and happy,Acceptable
284,,Male,38,35-44,Democrat,College degree,Latino,Single,Real and Caused by People,0,0,No,Too Low,Smart and Sad,Acceptable
285,,Male,53,45-54,Independent,Some college,White,Married,Real and Caused by People,2,3,No,Too Low,Smart and Sad,Acceptable
286,,Female,51,45-54,Independent,College degree,White,In a relationship,Real and Caused by People,2,2,No,About Right,Dumb and happy,Acceptable
287,,Male,45,45-54,Independent,Some college,White,Single,Not Real At All,0,28,No,Too High,Dumb and happy,Unacceptable
288,,Female,40,35-44,Democrat,Graduate degree,White,Married,Real and Caused by People,0,5,No,Too Low,Dumb and happy,Unacceptable
289,,Male,70,65+,Independent,College degree,Black,Married,Real and Caused by People,3,1,No,About Right,Smart and Sad,Unacceptable
290,,Male,58,55-64,Democrat,Graduate degree,White,Single,Real and Caused by People,1,3,No,Too Low,Smart and Sad,
291,,Female,42,35-44,Independent,College degree,White,Married,Real and Caused by People,1,5,No,Too Low,Dumb and happy,
292,,Female,36,35-44,Democrat,Graduate degree,Latino,In a relationship,Real and Caused by People,1,3,Yes,Too High,Smart and Sad,Acceptable
293,,Female,40,35-44,Independent,College degree,White,Married,Real and Caused by People,0,100,No,,Dumb and happy,Unacceptable
294,,Female,24,18-24,Independent,College degree,White,In a relationship,Real and Caused by People,2,10,Yes,Too Low,Dumb and happy,Unacceptable
295,,Male,75,65+,Democrat,College degree,Black,Widowed,Real and Caused by People,0,6,No,Too Low,Smart and Sad,Unacceptable
296,,Female,68,65+,Republican,Some college,White,Widowed,Real but not Caused by People,0,250,No,About Right,Dumb and happy,Unacceptable
297,132000,Male,57,55-64,Independent,College degree,White,Married,Real but not Caused by People,0,4,No,About Right,Dumb and happy,Unacceptable
298,48000,Male,64,55-64,Republican,Graduate degree,Asian,Married,Not Real At All,3,0,Yes,About Right,Smart and Sad,Acceptable
299,92000,Female,56,55-64,Independent,Graduate degree,White,Married,Real and Caused by People,0,12,Yes,Too Low,Smart and Sad,Unacceptable
300,25000,Female,33,25-34,Democrat,Graduate degree,Black,Single,Real but not Caused by People,1,12,No,About Right,Dumb and happy,Acceptable
301,22000,Female,40,35-44,,Some college,White,Married,,5,5,Yes,Too Low,Dumb and happy,Acceptable
302,57000,Female,57,55-64,Republican,Some college,White,Married,Real but not Caused by People,1,56,Yes,Too High,Dumb and happy,Acceptable
303,170000,Male,63,55-64,Independent,College degree,White,Married,Real but not Caused by People,0,3,No,About Right,Smart and Sad,Acceptable
304,92000,Female,57,55-64,Independent,Some college,White,Married,Real and Caused by People,0,52,No,Too Low,Dumb and happy,Unacceptable
305,91000,Female,48,45-54,Independent,College degree,White,Divorced,Real and Caused by People,0,12,Yes,About Right,Smart and Sad,Acceptable
306,10000,Female,55,55-64,Independent,College degree,,Married,Real and Caused by People,4,6,No,Too Low,,Unacceptable
307,48000,Female,60,55-64,Independent,Some college,White,Married,Not Real At All,0,40,Yes,Too High,Smart and Sad,Unacceptable
308,105000,Female,59,55-64,Independent,High school,White,Divorced,Real and Caused by People,0,0,Yes,About Right,Dumb and happy,Unacceptable
309,52000,Male,51,45-54,Democrat,Graduate degree,White,Married,Real and Caused by People,1,4,Yes,Too Low,Smart and Sad,
310,90000,Female,64,55-64,Republican,College degree,White,Married,Real and Caused by People,0,3,Yes,Too Low,Smart and Sad,Unacceptable
311,39000,Female,75,65+,Democrat,High school,Black,Divorced,Real and Caused by People,0,0,No,Too High,Dumb and happy,Unacceptable
312,120000,Male,53,45-54,Democrat,High school,White,Married,Real and Caused by People,0,2,Yes,About Right,Dumb and happy,Acceptable
313,34000,Female,65,65+,,High school,White,Single,Real but not Caused by People,1,0,No,Too High,Dumb and happy,Unacceptable
314,180000,Female,40,35-44,Republican,College degree,White,Married,Not Real At All,0,0,No,Too High,Smart and Sad,Unacceptable
315,150000,Male,45,45-54,Republican,College degree,Black,Married,Not Real At All,0,0,No,,Dumb and happy,Acceptable
316,164000,Female,26,25-34,Democrat,High school,White,Single,Real and Caused by People,1,15,No,Too Low,Smart and Sad,Acceptable
317,83000,Male,64,55-64,Independent,College degree,White,Married,Real and Caused by People,0,4,No,About Right,Dumb and happy,Unacceptable
318,386000,Other,36,35-44,Independent,Graduate degree,Black,Married,Not Real At All,0,5,,,Dumb and happy,Unacceptable
319,79000,Male,60,55-64,Independent,Some college,White,Married,Real and Caused by People,5,3,Yes,About Right,Dumb and happy,Unacceptable
320,32000,Male,64,55-64,Independent,College degree,White,Separated,Real and Caused by People,0,6,No,Too Low,,
321,327000,Female,55,55-64,Independent,College degree,White,Married,Real and Caused by People,0,2,No,Too Low,Smart and Sad,Unacceptable
322,62000,Female,62,55-64,Republican,College degree,White,Married,Real but not Caused by People,0,5,No,Too Low,Smart and Sad,Unacceptable
323,180000,Female,64,55-64,Republican,Some college,White,Widowed,Real but not Caused by People,0,1,Yes,About Right,Dumb and happy,Acceptable
324,70000,Female,49,45-54,Independent,Some college,Black,In a relationship,Real but not Caused by People,4,0,Yes,About Right,Dumb and happy,Acceptable
325,103000,Female,58,55-64,Republican,Some college,White,Married,Not Real At All,0,50,Yes,About Right,Smart and Sad,Acceptable
326,20000,Female,60,55-64,,High school,Other,Married,Real and Caused by People,4,0,Yes,About Right,Dumb and happy,
327,57000,Male,47,45-54,Independent,Graduate degree,White,Single,Real and Caused by People,1,5,No,Too Low,Dumb and happy,Unacceptable
328,90000,Female,55,55-64,,,White,Married,,2,8,No,,Dumb and happy,
329,78000,Female,58,55-64,,Other,,Married,Real and Caused by People,3,120,No,Too Low,Smart and Sad,Acceptable
330,132000,Female,61,55-64,Democrat,College degree,White,Married,Real and Caused by People,0,6,No,Too Low,,
331,73000,Male,61,55-64,Republican,Graduate degree,White,Married,Real and Caused by People,3,20,No,Too High,Smart and Sad,Unacceptable
332,42000,Female,57,55-64,Republican,Graduate degree,White,Married,Not Real At All,0,30,Yes,About Right,Dumb and happy,
333,21000,Female,69,65+,Democrat,High school,Black,Separated,Real but not Caused by People,0,2,No,About Right,Dumb and happy,Unacceptable
334,163000,Male,58,55-64,Independent,College degree,White,Married,Real and Caused by People,0,12,No,Too Low,Smart and Sad,Unacceptable
335,25000,Female,63,55-64,Independent,High school,White,Divorced,,2,4,Yes,,Smart and Sad,Acceptable
336,92000,Female,66,65+,Republican,High school,White,In a relationship,Not Real At All,,2,Yes,Too High,Dumb and happy,Unacceptable
337,88000,Female,44,35-44,Independent,High school,White,Married,Real but not Caused by People,5,0,Yes,Too Low,Dumb and happy,Unacceptable
338,22000,Male,70,65+,Independent,Graduate degree,White,In a relationship,Not Real At All,0,6,No,About Right,Smart and Sad,Unacceptable
339,43000,Male,63,55-64,Democrat,College degree,White,Married,Real and Caused by People,0,5,No,About Right,Dumb and happy,Unacceptable
340,90000,Male,60,55-64,Republican,College degree,,Married,Not Real At All,2,15,No,About Right,Smart and Sad,
341,47000,Female,60,55-64,Independent,High school,White,Single,Real and Caused by People,2,6,Yes,Too Low,Dumb and happy,Unacceptable
342,120000,Male,52,45-54,Independent,Graduate degree,,Married,Real but not Caused by People,3,8,No,,Smart and Sad,Unacceptable
343,10000,Female,38,35-44,Independent,High school,Other,Married,Real and Caused by People,0,4,Yes,Too Low,Dumb and happy,Unacceptable
344,10000,Female,61,55-64,Independent,Some college,White,In a relationship,Real and Caused by People,4,10,Yes,Too High,Dumb and happy,Unacceptable
345,55000,Female,62,55-64,Independent,High school,White,Married,Real and Caused by People,4,10,,About Right,,Unacceptable
346,113000,Male,40,35-44,Independent,Graduate degree,White,Married,Real and Caused by People,0,0,No,About Right,Dumb and happy,Unacceptable
347,137000,Female,40,35-44,Republican,College degree,White,Married,Real and Caused by People,0,15,Yes,About Right,Smart and Sad,Unacceptable
348,9000,Female,61,55-64,Republican,College degree,White,Married,Real but not Caused by People,3,25,Yes,Too Low,Smart and Sad,Acceptable
349,37000,Female,68,65+,Democrat,High school,White,Widowed,Real and Caused by People,0,1,No,About Right,Dumb and happy,Unacceptable
350,39000,Female,32,25-34,Democrat,Some college,White,Married,Real and Caused by People,1,30,No,Too Low,Dumb and happy,Unacceptable
351,13000,Female,55,55-64,Republican,Some college,White,Married,Real but not Caused by People,2,0,Yes,About Right,Dumb and happy,Unacceptable
352,47000,Female,58,55-64,Republican,High school,Black,Married,Real and Caused by People,0,0,No,About Right,Dumb and happy,Unacceptable
353,72000,Male,60,55-64,Independent,Some college,White,Married,Not Real At All,1,40,No,About Right,Smart and Sad,
354,37000,Male,58,55-64,Independent,College degree,White,Married,Not Real At All,3,60,Yes,About Right,Dumb and happy,Unacceptable
355,69000,Male,55,55-64,Independent,Some college,Other,Widowed,Not Real At All,4,7,No,Too High,Smart and Sad,Acceptable
356,208000,Male,55,55-64,Independent,Graduate degree,Latino,Single,Not Real At All,4,10,No,About Right,Dumb and happy,Acceptable
357,75000,Female,59,55-64,Republican,Some college,White,Married,Real and Caused by People,4,5,Yes,About Right,Smart and Sad,Unacceptable
358,30000,Female,57,55-64,,College degree,White,Divorced,Real and Caused by People,0,17,No,Too Low,Smart and Sad,Acceptable
359,23000,Male,62,55-64,Democrat,High school,Black,Divorced,Real and Caused by People,3,5,No,About Right,Dumb and happy,Unacceptable
360,8000,Male,34,25-34,Independent,Some college,White,Single,Real and Caused by People,0,3,No,Too Low,Dumb and happy,Acceptable
361,114000,Male,40,35-44,Republican,Graduate degree,White,Married,Real but not Caused by People,0,150,No,About Right,Smart and Sad,Unacceptable
362,112000,Female,33,25-34,Democrat,High school,Black,Single,,,0,Yes,,Dumb and happy,Unacceptable
363,129000,Female,45,45-54,Democrat,Some college,Latino,Married,Real and Caused by People,0,6,Yes,About Right,,Unacceptable
364,94000,Male,51,45-54,Democrat,High school,White,Married,Real and Caused by People,1,10,No,Too Low,Smart and Sad,Acceptable
365,129000,Male,63,55-64,Republican,Graduate degree,White,Widowed,,0,10,No,,Dumb and happy,Acceptable
366,177000,Male,63,55-64,Republican,Some college,White,Divorced,Not Real At All,0,2,Yes,About Right,Dumb and happy,Unacceptable
367,30000,Female,62,55-64,,Some college,White,Married,Real and Caused by People,0,100,Yes,Too High,Smart and Sad,Acceptable
368,12000,Male,35,35-44,,College degree,White,Divorced,Real and Caused by People,2,4,No,Too Low,Dumb and happy,Unacceptable
369,135000,Male,57,55-64,Democrat,College degree,White,Married,Real and Caused by People,0,3,No,Too Low,Smart and Sad,
370,87000,Male,50,45-54,Independent,High school,Black,Married,Not Real At All,1,6,Yes,Too Low,Dumb and happy,Acceptable
371,52000,Male,65,65+,Independent,College degree,White,Widowed,Real and Caused by People,0,2,No,Too Low,Smart and Sad,Unacceptable
372,86000,Male,55,55-64,,High school,White,Single,Real and Caused by People,3,10,No,Too Low,Smart and Sad,Acceptable
373,93000,Female,51,45-54,Independent,Graduate degree,White,Married,Real and Caused by People,5,3,Yes,Too Low,Dumb and happy,Unacceptable
374,183000,Female,80,65+,Democrat,College degree,White,Widowed,Real and Caused by People,0,10,No,About Right,Smart and Sad,Unacceptable
375,169000,Female,61,55-64,Independent,College degree,White,Married,Real and Caused by People,0,5,No,About Right,,Acceptable
376,13000,Other,22,18-24,,College degree,,Married,Real and Caused by People,5,6,Yes,About Right,Dumb and happy,Acceptable
377,102000,Female,61,55-64,Democrat,Graduate degree,White,Single,Real and Caused by People,0,8,Yes,About Right,Smart and Sad,Unacceptable
378,71000,Male,60,55-64,Independent,Some college,White,Married,Real and Caused by People,0,4,No,Too Low,Dumb and happy,Acceptable
379,101000,Male,54,45-54,Republican,College degree,White,Married,Not Real At All,0,12,No,Too Low,Dumb and happy,Acceptable
380,198000,Female,54,45-54,Democrat,College degree,White,Separated,Real and Caused by People,1,10,Yes,Too Low,Dumb and happy,Unacceptable
381,153000,Female,60,55-64,Republican,College degree,White,Married,Real and Caused by People,0,3,Yes,About Right,Dumb and happy,Unacceptable
382,43000,Male,56,55-64,Democrat,High school,Latino,Single,Real and Caused by People,4,20,No,About Right,Dumb and happy,Unacceptable
383,5000,Male,64,55-64,Democrat,High school,White,Single,Not Real At All,2,6,No,About Right,Dumb and happy,Unacceptable
384,61000,Female,29,25-34,Democrat,College degree,Latino,Single,Real and Caused by People,0,0,No,Too High,Smart and Sad,Acceptable
385,42000,Female,20,18-24,Democrat,Some college,White,Single,Real and Caused by People,4,15,Yes,Too High,Smart and Sad,Acceptable
386,65000,Male,28,25-34,Democrat,Some college,Asian,Married,Real but not Caused by People,0,100,Yes,,Dumb and happy,
387,203000,Male,50,45-54,Republican,Graduate degree,White,Married,Real but not Caused by People,0,70,No,Too High,Dumb and happy,Unacceptable
388,168000,Female,58,55-64,Independent,Other,Latino,In a relationship,Real and Caused by People,0,4,Yes,About Right,Dumb and happy,Acceptable
389,130000,Female,36,35-44,Independent,Graduate degree,White,Married,Real and Caused by People,4,20,Yes,Too Low,Dumb and happy,
390,,Male,43,35-44,Democrat,High school,Asian,Single,Not Real At All,5,0,No,About Right,Dumb and happy,Unacceptable
391,,Female,63,55-64,Republican,College degree,White,Widowed,Real and Caused by People,2,,Yes,About Right,Smart and Sad,Unacceptable
392,,Male,45,45-54,Independent,College degree,White,Single,Real and Caused by People,,2,Yes,Too Low,Smart and Sad,Acceptable
393,,Female,78,65+,Independent,Some college,White,Widowed,Real and Caused by People,0,100,Yes,Too Low,Smart and Sad,Acceptable
394,,Male,18,18-24,Independent,High school,Latino,Single,Real and Caused by People,3,3,No,About Right,Smart and Sad,Acceptable
395,,Female,68,65+,Independent,Graduate degree,Other,Widowed,Not Real At All,2,30,No,,Dumb and happy,Acceptable
396,105000,Female,64,55-64,Republican,Graduate degree,White,Married,Real but not Caused by People,3,15,No,,,
397,,Male,71,65+,Republican,College degree,White,Single,Not Real At All,4,4,No,Too High,Dumb and happy,Unacceptable
398,,Female,66,65+,Democrat,Some college,White,Divorced,Real and Caused by People,0,5,Yes,Too Low,Smart and Sad,Unacceptable
399,,Male,31,25-34,Independent,High school,Latino,Single,Not Real At All,3,1,Yes,Too High,Smart and Sad,Unacceptable
400,,Male,60,55-64,Republican,College degree,White,Married,Real but not Caused by People,0,5,No,About Right,Smart and Sad,Acceptable
401,,Male,39,35-44,Independent,Graduate degree,White,Married,Not Real At All,1,1,Yes,About Right,Dumb and happy,Acceptable
402,,Male,67,65+,Independent,College degree,White,Widowed,Real and Caused by People,2,2,No,Too Low,Dumb and happy,Unacceptable
403,,Male,20,18-24,Independent,Some college,Latino,Single,Real but not Caused by People,1,25,No,,Smart and Sad,Unacceptable
404,,Female,57,55-64,Democrat,College degree,White,Divorced,Real and Caused by People,0,5,No,Too Low,Smart and Sad,Unacceptable
405,,Male,29,25-34,Independent,High school,White,Married,Real but not Caused by People,0,0,Yes,About Right,Dumb and happy,Acceptable
406,,Male,61,55-64,Independent,Some college,White,Married,Real but not Caused by People,0,7,Yes,,Smart and Sad,Unacceptable
407,,Female,66,65+,Democrat,College degree,White,Single,Real and Caused by People,0,3,No,,Dumb and happy,Unacceptable
408,,Male,63,55-64,Independent,College degree,White,Married,Real and Caused by People,2,700,No,Too Low,Smart and Sad,Unacceptable
409,,Female,62,55-64,Democrat,College degree,White,Married,Real and Caused by People,2,4,Yes,Too Low,Smart and Sad,Acceptable
410,,Female,60,55-64,Independent,High school,White,Divorced,Not Real At All,0,50,Yes,Too Low,Dumb and happy,Unacceptable
411,,Male,21,18-24,Democrat,Graduate degree,Asian,Single,Real and Caused by People,3,17,No,Too Low,Dumb and happy,
412,,Female,61,55-64,Republican,College degree,White,Married,Real but not Caused by People,5,15,Yes,Too Low,Smart and Sad,
413,,Female,72,65+,Independent,College degree,White,In a relationship,Real and Caused by People,0,4,No,Too Low,,
414,,Female,28,25-34,Republican,College degree,White,Married,Real but not Caused by People,5,15,Yes,Too Low,Dumb and happy,Acceptable
415,,Male,29,25-34,Independent,College degree,White,Single,Real and Caused by People,0,2,No,About Right,Dumb and happy,Unacceptable
416,,Male,33,25-34,Democrat,Graduate degree,White,Married,Real and Caused by People,0,4,No,Too Low,Smart and Sad,Unacceptable
417,,Female,32,25-34,Independent,College degree,White,Married,Real and Caused by People,0,7,Yes,Too Low,Dumb and happy,Unacceptable
418,,Female,51,45-54,Independent,High school,White,Single,Real and Caused by People,1,0,No,,Dumb and happy,Unacceptable
419,,Male,41,35-44,Independent,High school,White,In a relationship,Not Real At All,4,0,Yes,About Right,Dumb and happy,Unacceptable
420,,Male,59,55-64,Republican,High school,White,Married,Not Real At All,0,1,No,Too High,Dumb and happy,Unacceptable
421,,Male,70,65+,Republican,Graduate degree,,Divorced,Real but not Caused by People,1,5,Yes,About Right,Smart and Sad,
422,,Female,65,65+,Independent,Graduate degree,White,Married,Not Real At All,2,9,,,Smart and Sad,Unacceptable
423,,Female,60,55-64,Independent,Some college,Asian,Married,Not Real At All,2,14,Yes,Too High,Dumb and happy,Unacceptable
424,,Male,32,25-34,Independent,High school,Black,Married,Real and Caused by People,5,5,Yes,,Smart and Sad,Unacceptable
425,,Male,36,35-44,Democrat,High school,White,Single,Real and Caused by People,3,3,No,Too Low,Smart and Sad,Unacceptable
426,,Other,60,55-64,Independent,Other,White,Single,Real and Caused by People,,0,Yes,About Right,,
427,,Female,61,55-64,Democrat,College degree,White,Married,Real and Caused by People,0,5,Yes,About Right,Smart and Sad,
428,,Male,23,18-24,Independent,High school,White,Single,Real and Caused by People,4,70,Yes,Too Low,Dumb and happy,Acceptable
429,,Female,55,55-64,Democrat,College degree,Black,Separated,Real and Caused by People,1,3,Yes,Too High,Dumb and happy,Acceptable
430,,Female,58,55-64,Democrat,Some college,White,Widowed,Real and Caused by People,4,20,Yes,About Right,Dumb and happy,Unacceptable
431,,Male,24,18-24,Republican,Graduate degree,Latino,Single,Not Real At All,0,5,No,About Right,Smart and Sad,Acceptable
432,,Female,34,25-34,,College degree,Black,Married,Not Real At All,1,3,Yes,Too Low,Dumb and happy,Acceptable
433,,Female,77,65+,,College degree,White,Married,Real and Caused by People,0,2,No,,Dumb and happy,Acceptable
434,,Male,36,35-44,Independent,Some college,Black,Married,Real and Caused by People,,5,Yes,Too Low,Smart and Sad,Unacceptable
435,,Male,19,18-24,Republican,Graduate degree,White,Single,Real and Caused by People,0,5,Yes,About Right,Smart and Sad,Acceptable
436,,Female,54,45-54,Democrat,Some college,White,Divorced,Real but not Caused by People,0,5,Yes,Too Low,Dumb and happy,Unacceptable
437,,Female,23,18-24,Republican,Some college,White,In a relationship,Real and Caused by People,5,30,Yes,Too Low,Dumb and happy,Acceptable
438,,Female,19,18-24,Independent,Some college,Latino,In a relationship,Real and Caused by People,1,7,Yes,Too High,Dumb and happy,Acceptable
439,,Male,67,65+,Independent,College degree,Asian,Married,Real but not Caused by People,0,0,,Too Low,Dumb and happy,Acceptable
440,,Female,38,35-44,Independent,Some college,White,Married,Real and Caused by People,1,12,No,Too Low,Smart and Sad,Acceptable
441,,Female,99,65+,,College degree,,Single,Not Real At All,4,25,No,Too Low,,
442,,Male,25,25-34,Democrat,Graduate degree,White,In a relationship,Real and Caused by People,2,23,No,Too Low,Smart and Sad,Acceptable
443,,Female,42,35-44,Republican,College degree,White,Married,Real and Caused by People,3,6,Yes,Too Low,Smart and Sad,Unacceptable
444,,Female,71,65+,Democrat,Graduate degree,White,Widowed,Real and Caused by People,0,13,No,Too Low,Smart and Sad,Unacceptable
445,,Male,48,45-54,,Some college,White,Divorced,Real and Caused by People,3,1,No,Too Low,Smart and Sad,Unacceptable
446,69000,Male,62,55-64,Democrat,High school,White,Married,Real and Caused by People,0,4,No,,Smart and Sad,Unacceptable
447,,Other,82,65+,Independent,High school,,Single,Real and Caused by People,,,Yes,,,
448,,Other,26,25-34,,Graduate degree,Asian,Separated,Not Real At All,5,55,Yes,,Smart and Sad,Acceptable
449,,Female,65,65+,Democrat,College degree,White,Divorced,Real and Caused by People,0,70,Yes,Too Low,Smart and Sad,Unacceptable
450,,Male,58,55-64,,Graduate degree,White,Single,Not Real At All,0,12,No,,,
451,,Male,72,65+,Independent,Some college,White,Single,Real and Caused by People,2,2,No,Too Low,Smart and Sad,Acceptable
452,,Male,40,35-44,,Graduate degree,Latino,In a relationship,Real but not Caused by People,0,3,No,Too Low,,
453,,Male,42,35-44,Independent,Graduate degree,Asian,Single,Real but not Caused by People,1,4,No,About Right,,Acceptable
454,,Male,22,18-24,,High school,White,Single,Real and Caused by People,2,10,Yes,Too Low,Smart and Sad,Acceptable
455,,Male,58,55-64,Independent,College degree,White,Separated,Real but not Caused by People,0,0,Yes,Too Low,Smart and Sad,Acceptable
456,,Female,20,18-24,Independent,Some college,Latino,Single,Real and Caused by People,1,5,Yes,Too Low,Dumb and happy,Acceptable
457,,Male,42,35-44,Democrat,College degree,White,Single,Real and Caused by People,4,20,No,Too Low,Dumb and happy,Unacceptable
458,,Male,23,18-24,Independent,Some college,White,Married,Real and Caused by People,2,0,No,Too Low,Smart and Sad,Acceptable
459,,,62,55-64,Republican,Graduate degree,White,Married,Not Real At All,0,50,No,Too High,Dumb and happy,Acceptable
460,41000,Female,53,45-54,Independent,Some college,White,Married,Real but not Caused by People,3,25,Yes,Too Low,Smart and Sad,Unacceptable
461,18000,Female,83,65+,Republican,Some college,White,Widowed,Not Real At All,0,0,No,About Right,Smart and Sad,Acceptable
462,152000,Male,35,35-44,Independent,College degree,White,Married,Real and Caused by People,1,10,No,About Right,Dumb and happy,Unacceptable
463,73000,Female,53,45-54,Independent,Some college,White,Married,Real but not Caused by People,0,5,No,About Right,Dumb and happy,Unacceptable
464,42000,Female,40,35-44,Independent,College degree,White,Single,Not Real At All,3,0,Yes,,Dumb and happy,Acceptable
465,68000,Female,48,45-54,Democrat,Some college,Latino,Married,Not Real At All,2,4,No,About Right,Smart and Sad,Acceptable
466,162000,Other,48,45-54,Independent,Graduate degree,White,In a relationship,Not Real At All,2,3,Yes,About Right,Dumb and happy,Unacceptable
