Entity,Code,Year,Schizophrenia disorders (share of population) - Sex: Both - Age: Age-standardized,Depressive disorders (share of population) - Sex: Both - Age: Age-standardized,Anxiety disorders (share of population) - Sex: Both - Age: Age-standardized,Bipolar disorders (share of population) - Sex: Both - Age: Age-standardized,Eating disorders (share of population) - Sex: Both - Age: Age-standardized
United States,USA,1994,0.4472567,4.1981354,5.274653,0.60527015,0.4491788
United States,USA,1995,0.44839168,4.2789063,5.2937264,0.60505545,0.45229667
United States,USA,1996,0.4488745,4.346033,5.452494,0.6048532,0.4522142
United States,USA,1997,0.4491345,4.3987412,5.8007646,0.60465616,0.4511574
United States,USA,1998,0.4493081,4.4390383,6.2089686,0.6044661,0.4495324
United States,USA,1999,0.44953126,4.4677186,6.5479445,0.60427856,0.44814983
United States,USA,2000,0.44993713,4.4857907,6.6883707,0.60409266,0.44769108
United States,USA,2001,0.4514257,4.493341,6.636507,0.6039308,0.44876918
United States,USA,2002,0.4542209,4.492336,6.5100694,0.60377705,0.45059964
United States,USA,2003,0.45744422,4.486678,6.3478065,0.6036286,0.4528027
United States,USA,2004,0.46022034,4.4822283,6.188496,0.6034766,0.45479447
United States,USA,2005,0.46167195,4.484824,6.0706863,0.6033204,0.45619625
United States,USA,2006,0.4620123,4.491761,6.000551,0.60310584,0.45714864
United States,USA,2007,0.4620453,4.4984174,5.9503455,0.60281783,0.4582168
United States,USA,2008,0.46179056,4.503609,5.908171,0.60252017,0.4592264
United States,USA,2009,0.4612694,4.5064077,5.8622723,0.60226715,0.45985898
United States,USA,2010,0.4604998,4.5064754,5.8007455,0.6021163,0.46008015
United States,USA,2011,0.45854303,4.495158,5.6901655,0.6020305,0.45549324
United States,USA,2012,0.45496657,4.4685616,5.5317607,0.6019393,0.4452832
United States,USA,2013,0.450556,4.4357715,5.3658276,0.601847,0.4330943
United States,USA,2014,0.4460982,4.404113,5.232689,0.60175693,0.4229443
United States,USA,2015,0.4423769,4.3821406,5.172533,0.60166377,0.41873553
United States,USA,2016,0.43641692,4.372808,5.168079,0.601451,0.42221028
United States,USA,2017,0.43179995,4.369103,5.1753254,0.60123175,0.4262121
United States,USA,2018,0.4318861,4.369584,5.342051,0.601198,0.42610255
United States,USA,2019,0.43364868,4.375998,5.6977477,0.6012978,0.42435044
